Benchmark,ONNX,VNNLIB,,Competiton results 2023,,NeuralSat 2024,
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_2_5_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,0.003734117,3.719288195,sat,0.0925,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_2_6_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,0.00333081,3.705104759,sat,0.0909,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_2_7_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,0.003312231,3.703598354,sat,0.094,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_2_8_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,0.003351891,3.699512312,sat,0.0935,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_2_9_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,0.003322391,3.718238284,sat,0.093,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_3_1_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,0.003204059,3.696072833,sat,0.0919,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_3_2_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,0.00332159,7.767695379,sat,0.1,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_3_3_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,0.00333087,119.1214306,timeout,>120,timeout
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_3_4_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,0.003367151,3.714309188,sat,0.6126,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_3_5_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,0.003450703,3.718018445,sat,0.617,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_3_6_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,0.003451483,3.682960681,sat,0.3172,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_3_7_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,0.003310901,3.688452534,sat,0.5778,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_3_8_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,0.003370651,3.814146311,sat,0.6157,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_3_9_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,0.003257649,3.6927617,sat,0.4609,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_4_1_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,0.00319596,3.798135077,sat,1.404,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_4_2_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,0.0032565,51.0696074,unsat,>120,timeout
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_4_3_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,0.003187449,3.687144383,sat,1.0823,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_4_4_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,0.003401436,3.690188252,sat,0.5719,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_4_5_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,0.003285853,3.71792845,sat,1.1366,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_4_6_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,0.003299233,3.691631754,sat,0.6014,sat
